"ID","KODE_SATUAN","URAIAN_SATUAN"
"7163","PQ","PAGE PER INCH"
"7162","PO","POUND PER INCH OF LENGTH"
"7161","PN","POUND NET"
"7160","PM","POUND PERCENTAGE"
"7159","PLA","DEGREE PLATO"
"7158","PL","PAIL"
"7157","PK","PACK"
"7156","PI","PITCH"
"5603","PGL","PROOF GALLON"
"7155","PG","PLATE"
"7154","PFL","PROOF LITRE"
"7153","PF","PALLET (LIFT)"
"7152","PE","POUND EQUIVALENT"
"7151","PD","PAD"
"5600","PCE","PIECE"
"7150","PB","PAIR INCH"
"5598","PAL","PASCAL"
"7149","PA","PACKET"
"7148","P9","NINE PACK"
"7147","P8","EIGHT PACK"
"7146","P7","SEVEN PACK"
"7145","P6","SIX PACK"
"7144","P5","FIVE PACK"
"7143","P4","FOUR PACK"
"7142","P3","THREE PACK"
"7141","P2","POUND PER FOOT"
"7140","P1","PERCENT"
"7139","P0","PAGE - ELECTRONIC"
"5511","OZI","FLUID OUNCE (29,5735 CM3)"
"5512","OZA","FLUID OUNCE (29,5735 CM3)"
"7138","OZ","OUNCE AV"
"7137","OT","OVERTIME HOUR"
"7136","OP","TWO PACK"
"5596","ONZ","OUNCE GB,US (28,349523 G)"
"7135","ON","OUNCE PER SQUARE YARD"
"5595","OHM","OHM"
"7134","ODE","OZONE DEPLETION EQUIVALENT"
"7133","OA","PANEL"
"7132","NY","POUND PER AIR DRY METRIC TON"
"7131","NX","PART PER THOUSAND"
"7130","NV","VEHICLE"
"7129","NU","NEWTON METRE"
"5584","NTT","NET (REGIRTER) TON"
"7128","NT","NET TON"
"5594","NRL","NUMBER OF ROLLS"
"7127","NR","MICROMHO"
"7126","NQ","MHO"
"5593","NPT","NUMBER OF PARTS"
"5591","NPR","NUMBER OF PAIRS"
"5592","NPL","NUMBER OF PARCELS"
"7125","NN","TRAIN"
"5590","NMP","NUMBER OF PACKS"
"5583","NMI","NAUTICAL MILE (1852 M)"
"5586","NMB","NUMBER"
"7124","NL","LOAD"
"7123","NJ","NUMBER OF SCREENS"
"5589","NIU","NUMBER OF INTERNATIONAL UNITS"
"7122","NIL","NIL"
"7121","NI","NET IMPERIAL GALLON"
"7120","NH","MESSAGE HOUR"
"7119","NG","NET GALLON (US)"
"7118","NF","MESSAGE"
"5585","NEW","NEWTON"
"7117","NE","NET LITRE"
"7116","ND","NET BARREL"
"7115","NCL","NUMBER OF CELLS"
"7114","NC","CAR"
"5587","NBB","NUMBER BOBBINS"
"7113","NB","BARGE"
"5588","NAR","NUMBER OF ARTICLES"
"7112","NA","MILLIGRAM PER KILOGRAM"
"7111","N3","PRINT POINT"
"7110","N2","NUMBER OF LINES"
"7109","N1","PEN CALORIE"
"5570","MWH","MEGAWATT-HOUR (1000 KW/H)"
"5568","MVA","MEGAVOLT -  AMPERE (1000 KVA)"
"7108","MV","NUMBER OF MULTS"
"5786","MTS","METRE PER SECOND"
"5571","MTR","METRE"
"5489","MTQ","CUBIC METRE"
"5622","MTK","SQUARE METRE"
"7107","MT","MAT"
"5572","MSK","METRE PER SECOND SQUARED"
"5785","MQS","CUBIC METRE PER SECOND"
"5490","MQH","CUBIC METRE PER HOUR"
"7106","MQ","THOUSAND METRE"
"5784","MPA","MEGAPASCAL"
"5582","MON","MONTH"
"7105","MND","KILOGRAM, DRY WEIGHT"
"5577","MMT","MILLIMETRE"
"5491","MMQ","CUBIC MILLIMETRE"
"5624","MMK","SQUARE MILLIMETRE"
"5576","MLT","MILLILITRE"
"5473","MLD","BILLION US"
"7104","MK","MILLIGRAM PER SQUARE INCH"
"5580","MIU","MILLION INTERNATIONAL UNITS"
"5578","MIO","MILLION"
"5581","MIN","MINUTE"
"7103","MIL","THOUSAND"
"5623","MIK","SQUARE MILE"
"5633","MID","THOUSAND"
"5783","MHZ","MEGAHERTZ"
"5575","MGM","MILLIGRAM"
"7102","MF","MILLIGRAM PER SQUARE FOOT PER SIDE"
"7101","MD","AIR DRY METRIC TON"
"5782","MCU","MILLICURIE"
"7100","MC","MICROGRAM"
"5781","MBR","MILLIBAR"
"7099","MBF","THOUSAND BOARD FOOT"
"7098","MBE","THOUSAND STANDARD BRICK EQUIVALENT"
"5569","MAW","MEGAWATT"
