"ID","KODE_SATUAN","URAIAN_SATUAN"
"6497","J62","BARREL (US PETROLEUM) PER HOUR"
"6496","J61","BARREL (UK PETROLEUM) PER SECOND"
"6495","J60","BARREL (UK PETROLEUM) PER HOUR"
"6494","J59","BARREL (UK PETROLEUM) PER DAY"
"6493","J58","BARREL (UK PETROLEUM) PER MINUTE"
"6492","J57","BARREL (UK PETROLEUM)"
"6491","J56","BAR PER BAR"
"6490","J55","WATT SECOND"
"6489","J54","MEGABAUD"
"6488","J53","COULOMB SQUARE METRE PER KILOGRAM"
"6487","J52","BRITISH THERMAL UNIT (THERMOCHEMICAL) PER SECOND"
"6486","J51","BRITISH THERMAL UNIT (THERMOCHEMICAL) PER MINUTE"
"6485","J50","BRITISH THERMAL UNIT PER POUND DEGREE FAHRENHEIT"
"6484","J49","BRTISHTHRMALUNIT INCH/SCONDu005cu00a0SQUAREFOOT D/FAHRNHEIT"
"6483","J48","BRTISHTHERMALUNIT INCH/HOUR SQUAREFOOT D/FHRENHEIT"
"6482","J47","BRITISH THERMAL UNIT (THERMOCHEMICAL) PER HOUR"
"6481","J46","BRTISHTHERMALUNIT FOOT/HOUR SQUAREFOOT D/FHRENHEIT"
"6480","J45","BRITISH THERMAL UNIT (INTERNATIONAL TABLE) /SECOND"
"6479","J44","BRITISH THERMAL UNIT (INTERNATIONAL TABLE) /MINUTE"
"6478","J43","BRITISH THERMAL UNIT PER POUND DEGREE FAHRENHEIT"
"6477","J42","BRTISHTHERMALUNIT INCH/SCOND SQUAREFOOT D/FAHRENHT"
"6476","J41","BRTISHTHERMALUNIT INCH/HOUR SQUAREFOOT D/FAHRNHEIT"
"6475","J40","BRTISH THERMALUNIT FOOT/HOURu005cu00a0SQUAREFOOT D/FHRNHEIT"
"6474","J39","BRITISH THERMAL UNIT (MEAN)"
"6473","J38","BAUD"
"6472","J36","MICROLITRE PER LITRE"
"6471","J35","MICROGRAM PER CUBIC METRE BAR"
"6470","J34","MICROGRAM PER CUBIC METRE KELVIN"
"6469","J33","MICROGRAM PER KILOGRAM"
"6468","J32","MICROPOISE"
"6467","J31","DEGREE TWADDELL"
"6466","J30","DEGREE RANKINE PER SECOND"
"6465","J29","DEGREE RANKINE PER MINUTE"
"6464","J28","DEGREE RANKINE PER HOUR"
"7080","J27","DEGREE OECHSLE"
"7079","J26","RECIPROCAL DEGREE FAHRENHEIT"
"7078","J25","DEGREE FAHRENHEIT PER SECOND"
"7077","J24","DEGREE FAHRENHEIT PER MINUTE"
"7076","J23","DEGREE FAHRENHEIT PER HOUR"
"7075","J22","BRITISH THERMALUNIT/HOUR SQUARE FOOT D/FAHRENHEIT "
"7074","J21","DEGREE FAHRENHEIT PER BAR"
"7073","J20","DEGREE FAHRENHEIT PER KELVIN"
"7072","J2","JOULE PER KILOGRAM"
"7071","J19","D/FHRNHET HOURSQUAREFOOT/BRTSHTHERMLUNT/THRMOCHEMC"
"7070","J18","DEGREE BRIX"
"7069","J17","DEGREE BALLING"
"7068","J16","DEGREE BAUME (US LIGHT)"
"7067","J15","DEGREE BAUME (US HEAVY)"
"7066","J14","DEGREE BAUME (ORIGIN SCALE)"
"7065","J13","DEGREE API"
"7064","J12","PER MILLE PER PSI"
"7063","J10","PERCENT PER MILLIMETRE"
"7062","IV","INCH PER SECOND SQUARED"
"7061","IU","INCH PER SECOND"
"7060","IT","COUNT PER CENTIMETRE"
"7059","ISD","INTERNATIONAL SUGAR DEGREE"
"7058","IP","INSURANCE POLICY"
"5488","INQ","CUBIC INCH"
"5620","INK","SQUARE INCH"
"5537","INH","INCH (2.54 MM)"
"7057","IM","IMPRESSION"
"7056","IL","INCH PER MINUTE"
"7055","II","COLUMN INCH"
"7054","IF","INCHES OF WATER"
"7053","IE","PERSON"
"7052","IC","COUNT PER INCH"
"7051","IA","INCH POUND (POUND INCH)"
"7050","HY","HUNDRED YARD"
"5532","HUR","HOUR"
"5531","HTZ","HERTZ"
"7049","HT","HALF HOUR"
"7048","HS","HUNDRED SQUARE FOOT"
"5529","HPA","HECTOLITRE OF PURE ALCOHOL"
"7047","HP","CONVENTIONAL MILLIMETRE OF WATER"
"7046","HO","HUNDRED TROY OUNCE"
"7045","HN","CONVENTIONAL MILLIMETRE OF MERCURY"
"5530","HMT","HECTOMETRE"
"5579","HMQ","MILLION CUBIC METRES"
"7044","HM","MILE PER HOUR"
"5528","HLT","HECTOLITRE"
"7043","HL","HUNDRED FOOT (LINEAR)"
"7042","HKM","HUNDRED KILOGRAM, NET MASS"
"7041","HK","HUNDRED KILOGRAM"
"7040","HJ","METRIC HORSE POWER"
"5534","HIU","HUNDRED INTENATIONAL UNITS"
"7039","HI","HUNDRED SHEET"
"7038","HH","HUNDRED CUBIC FOOT"
"5527","HGM","HECTOGRAM"
"7037","HF","HUNDRED FOOT"
"7036","HE","HUNDREDTH OF A CARAT"
"7035","HDW","HUNDRED KILOGRAM, DRY WEIGHT"
"7034","HD","HALF DOZEN"
"7033","HC","HUNDRED COUNT"
"7032","HBX","HUNDRED BOXES"
"5526","HBA","HECTOBAR"
"5525","HAR","HECTARE"
"7031","HA","HANK"
"7030","H99","PERCENT PER METRE"
"7029","H98","PERCENT PER INCH"
"7028","H96","PERCENT PER BAR"
"7027","H95","PERCENT PER VOLT"
"7026","H94","PERCENT PER THOUSAND"
"7025","H93","PERCENT PER HUNDRED"
"7024","H92","PERCENT PER ONE HUNDRED THOUSAND"
"7023","H91","PERCENT PER TEN THOUSAND"
"7022","H90","PERCENT PER DEGREE"
"7021","H89","PERCENT PER OHM"
"7020","H88","MEGAOHM KILOMETRE"
"7019","H87","PIECE"
"7018","H85","RECIPROCAL WEEK"
"7017","H84","GRAM MILLIMETRE"
"7016","H83","LITRE PER KILOGRAM"
"7015","H82","BIG POINT"
"7014","H81","MILLIMETRE PER MINUTE"
"7013","H80","RACK UNIT"
"7012","H79","FRENCH GAUGE"
"7011","H78","CONVENTIONAL CENTIMETRE OF WATER"
"7010","H77","MODULE WIDTH"
"7009","H76","GRAM PER MILLIMETRE"
"7008","H75","DECAPASCAL"
"7007","H74","WATT PER METRE"
"7006","H73","PERCENT PER DECAKELVIN"
"7005","H72","PERCENT PER HECTOBAR"
"7004","H71","PERCENT PER MONTH"
"7003","H70","PICOSECOND"
"7002","H69","PICOPASCAL PER KILOMETRE"
"7001","H68","MILLIMOLE PER GRAM"
"7000","H67","MILLIMETRE PER HOUR"
"6999","H66","MILLIMETRE PER YEAR"
"6998","H65","MILLILITRE PER CUBIC METRE"
"6997","H64","MILLIGRAM PER GRAM"
"6996","H63","MILLIGRAM PER SQUARE CENTIMETRE"
"6995","H62","MILLIVOLT PER MINUTE"
"6994","H61","MILLISIEMENS PER CENTIMETRE"
"6993","H60","CUBIC METRE PER CUBIC METRE"
"6992","H59","SQUARE METRE PER NEWTON"
"6991","H58","METRE PER VOLT SECOND"
"6990","H57","INCH PER TWO PI RADIANT"
"6989","H56","KILOGRAM PER SQUARE METRE SECOND"
"6988","H55","KILOGRAM PER CUBIC DECIMETRE BAR"
"6987","H54","KILOGRAM PER CUBIC DECIMETRE KELVIN"
"6986","H53","KILOGRAM PER BAR"
"6985","H52","DECIBEL PER METRE"
"6984","H51","DECIBEL PER KILOMETRE"
"6983","H50","RECIPROCAL CUBIC CENTIMETRE"
"6982","H49","CENTIMETRE PER HOUR"
"6981","H48","ATTOFARAD"
"6980","H47","WATT PER CUBIC METRE"
"6979","H46","VOLT PER SECOND"
"6978","H45","VOLT SECOND PER METRE"
"6977","H44","TERAOHM"
"6976","H43","SIEMENS PER CENTIMETRE"
"6975","H42","PASCAL PER METRE"
"6974","H41","NEWTON METRE WATT TO THE POWER MINUS 0,5"
"6973","H40","NEWTON PER AMPERE"
"6972","H39","MEGAHERTZ KILOMETRE"
"6971","H38","MEGAAMPERE"
"6970","H37","MEGAOHM PER METRE"
"6969","H36","MEGAOHM PER KILOMETRE"
"6968","H35","KELVIN METRE PER WATT"
"6967","H34","HERTZ METRE"
"6966","H33","FARAD PER KILOMETRE"
"6965","H32","AMPERE SQUARED SECOND"
"6964","H31","AMPERE PER KILOGRAM"
"6963","H30","SQUARE MICROMETRE"
"6962","H29","MICROGRAM PER LITRE"
"6961","H28","MICROFARAD PER KILOMETRE"
"6960","H27","DEGREE PER METRE"
"6959","H26","OHM PER METRE"
"6958","H25","PERCENT PER KELVIN"
"6957","H24","VOLT PER MICROSECOND"
"6956","H23","VOLT PER INCH"
"6955","H22","VOLT SQUARE INCH PER POUND-FORCE"
"6954","H21","BLANK"
"6953","H20","CUBIC KILOMETRE"
"6952","H2","HALF LITRE"
"6951","H19","CUBIC HECTOMETRE"
"6950","H18","SQUARE HECTOMETRE"
"6949","H16","SQUARE DECAMETRE"
"6948","H15","SQUARE CENTIMETRE PER GRAM"
"6947","H14","DEGREE CELSIUS PER SECOND"
"6946","H13","DEGREE CELSIUS PER MINUTE"
"6945","H12","DEGREE CELSIUS PER HOUR"
"6944","H11","RECIPROCAL MONTH"
"6943","H10","RECIPROCAL HOUR"
"6942","H1","HALF PAGE - ELECTRONIC"
"6941","H09","RECIPROCAL YEAR"
"6940","H08","MICROBECQUEREL"
"6939","H07","PASCAL SECOND PER BAR"
"6938","H06","MILLIHENRY PER OHM"
"6937","H05","MILLIHENRY PER KILOOHM"
"6936","H04","HENRY PER OHM"
"6935","H03","HENRY PER KILOOHM"
"6934","GZ","GAGE SYSTEM"
"6933","GY","GROSS YARD"
"5516","GWH","GIGAWATT-HOUR (1 MILLION KW/H)"
"6932","GW","GALLON PER THOUSAND CUBIC FOOT"
"6931","GV","GIGAJOULE"
"6930","GT","GROSS TON"
"5523","GRT","GROSS (REGISTER) TON"
"5522","GRO","GROSS"
"5519","GRN","GRAIN GB,US (64,798910 MG)"
"5520","GRM","GRAM"
"6929","GQ","MICROGRAM PER CUBIC METRE"
"6928","GP","MILLIGRAM PER CUBIC METRE"
"6927","GO","MILLIGRAM PER SQUARE METRE"
"6926","GN","GROSS GALLON"
"6925","GM","GRAM PER SQUARE METRE"
"5558","GLL","LIQUID GALLON (3,78541 DM3)"
"5514","GLI","GALLON (4,546092 DM3)"
"5508","GLD","DRY GALLON (4,404884 DM3)"
"6924","GL","GRAM PER LITRE"
"6923","GK","GRAM PER KILOGRAM"
"6922","GJ","GRAM PER MILLILITRE"
"6921","GIP","GRAM, INCLUDING INNER PACKAGING"
"5517","GII","GILL (0,142065 DM3)"
"6920","GIC","GRAM, INCLUDING CONTAINER"
"5518","GIA","GILL (11,8294 CM3)"
"6919","GH","HALF GALLON (US)"
"5521","GGR","GREAT GROSS (12 GROSS)"
"6918","GFI","GRAM OF FISSILE ISOTOPE"
"6917","GF","GRAM PER METRE (GRAM PER 100 CENTIMETRES)"
"6916","GE","POUND PER GALLON (US)"
"6915","GDW","GRAM, DRY WEIGHT"
"6914","GD","GROSS BARREL"
"6913","GC","GRAM PER 100 GRAM"
"5515","GBQ","GIGABECQUEREL"
"6912","GB","GALLON (US) PER DAY"
"6911","G99","MICROHENRY PER OHM"
"6910","G98","MICROHENRY PER KILOOHM"
"6909","G97","MILLILITRE PER BAR"
"6908","G96","CUBIC METRE PER BAR"
"6907","G95","LITRE PER BAR"
"6906","G94","CUBIC CENTIMETRE PER BAR"
"6905","G93","MILLILITRE PER SECOND BAR"
"6904","G92","MILLILITRE PER MINUTE BAR"
"6903","G91","MILLILITRE PER HOUR BAR"
"6902","G90","MILLILITRE PER DAY BAR"
"6901","G89","CUBIC METRE PER SECOND BAR"
"6900","G88","CUBIC METRE PER MINUTE BAR"
"6899","G87","CUBIC METRE PER HOUR BAR"
"6898","G86","CUBIC METRE PER DAY BAR"
"6897","G85","LITRE PER SECOND BAR"
"6896","G84","LITRE PER MINUTE BAR"
"6895","G83","LITRE PER HOUR BAR"
"6894","G82","LITRE PER DAY BAR"
"6893","G81","CUBIC CENTIMETRE PER SECOND BAR"
"6892","G80","CUBIC CENTIMETRE PER MINUTE BAR"
"6891","G79","CUBIC CENTIMETRE PER HOUR BAR"
"6890","G78","CUBIC CENTIMETRE PER DAY BAR"
"6889","G77","MILLIMETRE TO THE FOURTH POWER"
"6888","G76","MILLILITRE PER SECOND KELVIN"
"6887","G75","MILLILITRE PER MINUTE KELVIN"
"6886","G74","MILLILITRE PER HOUR KELVIN"
"6885","G73","MILLILITRE PER DAY KELVIN"
"6884","G72","CUBIC METRE PER SECOND KELVIN"
"6883","G71","CUBIC METRE PER MINUTE KELVIN"
"6882","G70","CUBIC METRE PER HOUR KELVIN"
"6881","G7","MICROFICHE SHEET"
"6880","G69","CUBIC METRE PER DAY KELVIN"
"6879","G68","LITRE PER SECOND KELVIN"
"6878","G67","LITRE PER MINUTE KELVIN"
"6877","G66","LITRE PER HOUR KELVIN"
"6876","G65","LITRE PER DAY KELVIN"
"6875","G64","CUBIC CENTIMETRE PER SECOND KELVIN"
"6874","G63","CUBIC CENTIMETRE PER MINUTE KELVIN"
"6873","G62","CUBIC CENTIMETRE PER HOUR KELVIN"
"6872","G61","CUBIC CENTIMETRE PER DAY KELVIN"
"6871","G60","VOLT PER BAR"
"6870","G59","MILLIAMPERE PER LITRE MINUTE"
"6869","G58","CUBIC INCH PER SECOND"
"6868","G57","CUBIC INCH PER MINUTE"
"6867","G56","CUBIC INCH PER HOUR"
"6866","G55","MILLILITRE PER HOUR"
"6865","G54","MILLILITRE PER DAY"
"6864","G53","CUBIC METRE PER MINUTE"
"6863","G52","CUBIC METRE PER DAY"
"6862","G51","LITRE PER SECOND"
"6861","G50","GALLON (US) PER HOUR"
"6860","G49","CUBIC CENTIMETRE PER MINUTE"
"6859","G48","CUBIC CENTIMETRE PER HOUR"
"6858","G47","CUBIC CENTIMETRE PER DAY"
"6857","G46","STOKES PER BAR"
"6856","G45","NANOSIEMENS PER METRE"
"6855","G44","NANOSIEMENS PER CENTIMETRE"
"6854","G43","MICROSIEMENS PER METRE"
"6853","G42","MICROSIEMENS PER CENTIMETRE"
"6852","G41","SQUARE METRE PER SECOND BAR"
"6851","G40","KILOGRAM PER CUBIC METRE KELVIN"
"6850","G39","KILOGRAM PER LITRE KELVIN"
"6849","G38","KILOGRAM PER CUBIC CENTIMETRE KELVIN"
"6848","G37","GRAM PER MILLILITRE KELVIN"
"6847","G36","GRAM PER CUBIC METRE KELVIN"
"6846","G35","GRAM PER LITRE KELVIN"
"6845","G34","GRAM PER CUBIC DECIMETRE KELVIN"
"6844","G33","GRAM PER CUBIC CENTIMETRE KELVIN"
"6843","G32","OUNCE (AVOIRDUPOIS) PER CUBIC YARD"
"6842","G31","KILOGRAM PER CUBIC CENTIMETRE"
"6841","G30","MILLILITRE PER KELVIN"
"6840","G3","IMPERIAL GALLON PER MINUTE"
"6839","G29","CUBIC METRE PER KELVIN"
"6838","G28","LITRE PER KELVIN"
"6837","G27","CUBIC CENTIMETRE PER KELVIN"
"6836","G26","STERE"
"6835","G25","TEASPOON (US)"
"6834","G24","TABLESPOON (US)"
"6833","G23","PECK"
"6832","G21","CUP [UNIT OF VOLUME]"
"6831","G20","POUND-FORCE FOOT PER POUND"
"6830","G2","US GALLON PER MINUTE"
"6829","G19","NEWTON METRE PER KILOGRAM"
"6828","G18","KILOGRAM PER CUBIC METRE BAR"
"6827","G17","KILOGRAM PER LITRE BAR"
"6826","G16","KILOGRAM PER CUBIC CENTIMETRE BAR"
"6825","G15","GRAM PER MILLILITRE BAR"
"6824","G14","GRAM PER CUBIC METRE BAR"
"6823","G13","GRAM PER LITRE BAR"
"6822","G12","GRAM PER CUBIC DECIMETRE BAR"
"6821","G11","GRAM PER CUBIC CENTIMETRE BAR"
"6820","G10","STOKES PER KELVIN"
"6819","G09","SQUARE METRE PER SECOND KELVIN"
"6818","G08","SQUARE INCH PER SECOND"
"6817","G06","MILLIMETRE PER BAR"
"6816","G05","METRE PER BAR"
"6815","G04","CENTIMETRE PER BAR"
"6814","G01","PASCAL CUBIC METRE PER SECOND"
"5487","FTQ","CUBIC FOOT"
"5619","FTK","SQUARE FOOT"
"6813","FS","FOOT PER SECOND"
"6812","FR","FOOT PER MINUTE"
"6811","FP","POUND PER SQUARE FOOT"
"5513","FOT","FOOT (0.3048 M)"
"6810","FM","MILLION CUBIC FOOT"
"6809","FL","FLAKE TON"
"6808","FIT","FAILURES IN TIME"
"6807","FH","MICROMOLE"
"6806","FG","TRANSDERMAL PATCH"
"6805","FF","HUNDRED CUBIC METRE"
"6804","FE","TRACK FOOT"
"6803","FD","MILLION PARTICLE PER CUBIC FOOT"
"6802","FC","THOUSAND CUBIC FOOT"
"6801","FBM","FIBRE METRE"
"6800","FB","FIELD"
"5773","FAR","FARAD"
"5498","FAH","DEGREE FAHRENHEIT"
"6799","F99","PASCAL LITRE PER SECOND"
"6798","F98","MEGAPASCAL CUBIC METRE PER SECOND"
"6797","F97","MEGAPASCAL LITRE PER SECOND"
"6796","F96","MILLIBAR CUBIC METRE PER SECOND"
"6795","F95","MILLIBAR LITRE PER SECOND"
"6794","F94","HEKTOPASCAL CUBIC METRE PER SECOND"
"6793","F93","HEKTOPASCAL LITRE PER SECOND"
"6792","F92","BAR CUBIC METRE PER SECOND"
"6791","F91","BAR LITRE PER SECOND"
"6790","F90","NEWTON METRE PER AMPERE"
"6789","F9","FIBRE PER CUBIC CENTIMETRE OF AIR"
"6788","F89","NEWTON METRE PER DEGREE"
"6787","F88","NEWTON CENTIMETRE"
"6786","F87","VOLT PER LITRE MINUTE"
"6785","F86","POISE PER KELVIN"
"6784","F85","MEGAPASCAL PER KELVIN"
"6783","F84","MILLIBAR PER KELVIN"
"6782","F83","KILOPASCAL PER KELVIN"
"6781","F82","HEKTOPASCAL PER KELVIN"
"6780","F81","BAR PER KELVIN"
"6779","F80","WATER HORSE POWER"
"6778","F79","INCH OF MERCURY"
"6777","F78","INCH OF WATER"
"6776","F77","PASCAL SECOND PER KELVIN"
"6775","F76","MILLIAMPERE PER MILLIMETRE"
"6774","F75","MILLIGRAM PER BAR"
"6773","F74","GRAM PER BAR"
"6772","F73","MILLIGRAM PER SECOND BAR"
"6771","F72","MILLIGRAM PER MINUTE BAR"
"6770","F71","MILLIGRAM PER HOUR BAR"
"6769","F70","MILLIGRAM PER DAY BAR"
"6768","F69","KILOGRAM PER SECOND BAR"
"6767","F68","KILOGRAM PER MINUTE BAR"
"6766","F67","KILOGRAM PER HOUR BAR"
"6765","F66","KILOGRAM PER DAY BAR"
"6764","F65","GRAM PER SECOND BAR"
"6763","F64","GRAM PER MINUTE BAR"
"6762","F63","GRAM PER HOUR BAR"
"6761","F62","GRAM PER DAY BAR"
"6760","F61","KELVIN PER BAR"
"6759","F60","DEGREE CELSIUS PER BAR"
"6758","F59","MILLIAMPERE PER BAR"
"6757","F58","RECIPROCAL BAR"
"6756","F57","MILLIAMPERE PER POUND-FORCE PER SQUARE INCH"
"6755","F56","OHM PER KILOMETRE"
"6754","F55","OHM PER MILE"
"6753","F54","MILLIOHM PER METRE"
"6752","F53","MILLIMETRE PER KELVIN"
"6751","F52","METRE PER KELVIN"
"6750","F51","CENTIMETRE PER KELVIN"
"6749","F50","MICROMETRE PER KELVIN"
"6748","F49","ROD [UNIT OF DISTANCE]"
"6747","F48","POUND-FORCE PER INCH"
"6746","F47","NEWTON PER MILLIMETRE"
"6745","F46","MILLIGRAM PER SECOND KELVIN"
"6744","F45","MILLIGRAM PER MINUTE KELVIN"
"6743","F44","MILLIGRAM PER HOUR KELVIN"
"6742","F43","MILLIGRAM PER DAY KELVIN"
"6741","F42","KILOGRAM PER SECOND KELVIN"
"6740","F41","KILOGRAM PER MINUTE KELVIN"
"6739","F40","KILOGRAM PER HOUR KELVIN"
"6738","F39","KILOGRAM PER DAY KELVIN"
"6737","F38","GRAM PER SECOND KELVIN"
"6736","F37","GRAM PER MINUTE KELVIN"
"6735","F36","GRAM PER HOUR KELVIN"
"6734","F35","GRAM PER DAY KELVIN"
"6733","F34","MILLIGRAM PER SECOND"
"6732","F33","MILLIGRAM PER MINUTE"
"6731","F32","MILLIGRAM PER DAY"
"6730","F31","KILOGRAM PER MINUTE"
"6729","F30","KILOGRAM PER DAY"
"6728","F29","GRAM PER SECOND"
"6727","F28","GRAM PER MINUTE"
"6726","F27","GRAM PER HOUR"
"6725","F26","GRAM PER DAY"
"6724","F25","GRAM PER HERTZ"
"6723","F24","KILOGRAM PER KILOMOL"
"6722","F23","GRAM PER CUBIC DECIMETRE"
"6721","F22","POUND-FORCE FOOT PER AMPERE"
"6720","F21","POUND-FORCE INCH"
"6719","F20","POUND INCH SQUARED"
"6718","F19","KILOGRAM SQUARE MILLIMETRE"
"6717","F18","KILOGRAM SQUARE CENTIMETRE"
"6716","F17","POUND-FORCE PER FOOT"
"6715","F16","MILLIGRAM PER KELVIN"
"6714","F15","KILOGRAM PER KELVIN"
"6713","F14","GRAM PER KELVIN"
"6712","F13","SLUG"
"6711","F12","KELVIN PER SECOND"
"6710","F11","KELVIN PER MINUTE"
"6709","F10","KELVIN PER HOUR"
"6708","F1","THOUSAND CUBIC FOOT PER DAY"
"6707","F08","MILLIAMPERE PER INCH"
"6706","F07","PASCAL PER BAR"
"6705","F06","POISE PER BAR"
"6704","F05","MEGAPASCAL PER BAR"
"6703","F04","MILLIBAR PER BAR"
"6702","F03","KILOPASCAL PER BAR"
"6701","F02","KELVIN PER KELVIN"
"6700","F01","BIT PER CUBIC METRE"
"6699","EV","ENVELOPE"
"6698","EQ","EQUIVALENT GALLON"
"6697","EP","ELEVEN PACK"
"6696","EC","EACH PER MONTH"
"6695","EB","ELECTRONIC MAIL BOX"
"6694","EA","EACH"
"6693","E99","HEKTOPASCAL PER BAR"
"6692","E98","DEGREE CELSIUS PER KELVIN"
"6691","E97","MILLIMETRE PER DEGREE CELCIUS METRE"
"6690","E96","DEGREE PER SECOND"
"6689","E95","MOLE PER SECOND"
"6688","E94","KILOMOLE PER SECOND"
"6687","E93","KILOGRAM PER HOUR"
"6686","E92","CUBIC DECIMETRE PER HOUR"
"6685","E91","RECIPROCAL DAY"
"6684","E90","RECIPROCAL CENTIMETRE"
"6683","E89","BIT PER SQUARE METRE"
"6682","E88","BIT PER METRE"
"6681","E87","TEBIBIT PER SQUARE METRE"
"6680","E86","TEBIBIT PER CUBIC METRE"
"6679","E85","TEBIBIT PER METRE"
"6678","E84","TERABIT PER SECOND"
"6677","E83","TERABIT"
"6676","E82","PEBIBIT PER CUBIC METRE"
"6675","E81","PEBIBIT PER SQUARE METRE"
"6674","E80","PEBIBIT PER METRE"
"6673","E79","PETABIT PER SECOND"
"6672","E78","PETABIT"
"6671","E77","MEBIBIT PER CUBIC METRE"
"6670","E76","MEBIBIT PER SQUARE METRE"
"6669","E75","MEBIBIT PER METRE"
"6668","E74","KIBIBIT PER CUBIC METRE"
"6667","E73","KIBIBIT PER SQUARE METRE"
"6666","E72","KIBIBIT PER METRE"
"6463","E71","GIBIBIT PER CUBIC METRE"
"6462","E70","GIBIBIT PER SQUARE METRE"
"6461","E69","GIBIBIT PER METRE"
"6460","E68","GIGABYTE PER SECOND"
"6459","E67","EXBIBIT PER CUBIC METRE"
"6458","E66","EXBIBIT PER SQUARE METRE"
"6457","E65","EXBIBIT PER METRE"
"6456","E64","KIBIBYTE"
"6455","E63","MEBIBYTE"
"6454","E62","GIBIBYTE"
"6453","E61","TEBIBYTE"
"6452","E60","PEBIBYTE"
"6451","E59","EXBIBYTE"
"6450","E58","EXABIT PER SECOND"
"6449","E57","ZONE"
"6448","E56","WELL"
"6447","E55","USE"
"6446","E54","TRIP"
"6445","E53","TEST"
"6444","E52","RUN FOOT"
"6443","E51","JOB"
"6442","E50","ACCOUNTING UNIT"
"6441","E5","METRIC LONG TON"
"6440","E49","WORKING DAY"
"6439","E48","SERVICE UNIT"
"6438","E47","KILOWATT HOUR PER KELVIN"
"6437","E46","KILOWATT HOUR PER CUBIC METRE"
"6436","E45","MILLIOHM"
"6435","E44","KILOGRAM-FORCE METRE PER SQUARE CENTIMETRE"
"6434","E43","JOULE PER SQUARE CENTIMETRE"
"6433","E42","KILOGRAM-FORCE PER SQUARE CENTIMETRE"
"6432","E41","KILOGRAM-FORCE PER SQUARE MILLIMETRE"
"6431","E40","PART PER HUNDRED THOUSAND"
"6430","E4","GROSS KILOGRAM"
"6429","E39","DOTS PER INCH"
"6428","E38","MEGAPIXEL"
"6427","E37","PIXEL"
"6426","E36","PETABYTE"
"6425","E35","TERABYTE"
"6424","E34","GIGABYTE"
"6423","E33","FOOT PER THOUSAND"
"6422","E32","LITRE PER HOUR"
"6421","E31","SQUARE METRE PER LITRE"
"6420","E30","STRAND"
"6419","E3","TRAILER"
"6418","E28","AIR DRY TON"
"6417","E27","DOSE"
"6416","E25","ACTIVE UNIT"
"6415","E23","TYRE"
"6414","E22","TEU"
"6413","E21","SHARES"
"6412","E20","MEGABIT PER SECOND"
"6411","E2","BELT"
"6410","E19","PING"
"6409","E18","TONNE PER HOUR"
"6408","E17","CUBIC FOOT PER SECOND"
"6407","E16","MILLION BTU(IT) PER HOUR"
"6406","E15","KILOCALORIE (THERMOCHEMICAL) PER HOUR"
"6405","E14","KILOCALORIE (INTERNATIONAL TABLE)"
"6404","E12","MILLE"
"6403","E11","GIGACALORIE"
"6402","E10","DEGREE DAY"
"6401","E09","MILLIAMPERE HOUR"
"6400","E08","MEGAWATT PER HERTZ"
"6399","E07","MEGAWATT HOUR PER HOUR"
"6398","E01","NEWTON PER SQUARE CENTIMETRE"
"5501","DZP","DOZEN PACKS"
"5500","DZN","DOZEN"
"6397","DY","DIRECTORY BOOK"
"6396","DX","DYNE PER CENTIMETRE"
"5599","DWT","PENNYWEIGHT GB,US (1,555174 G)"
"6395","DU","DYNE"
"5481","DTN","CENTNER, METRIC (100 KG)"
"6394","DT","DRY TON"
"6393","DS","DISPLAY"
"5504","DRM","DRACHM, GB (3,887935 G)"
"5503","DRL","DOZEN ROLLS"
"5505","DRI","DRAM GB (1,771745 G)"
"5506","DRA","DRAM US (3,887935 G)"
"6392","DR","DRUM"
"6391","DQ","DATA RECORD"
"5499","DPT","DISPLECEMENT TONNEGE"
"5502","DPR","DOZEN PAIRS"
"6390","DPC","DOZEN PIECE"
"6389","DN","DECINEWTON METRE"
"5496","DMT","DECIMETRE"
"5486","DMQ","CUBIC DECIMETRE"
"6388","DMO","STANDARD KILOLITRE"
"5618","DMK","SQUARE DECIMETRE"
"5772","DMA","CUBIC DECAMETRE"
"5771","DLT","DECILITRE"
"6387","DJ","DECAGRAM"
"6386","DI","DISPENSER"
"6385","DG","DECIGRAM"
"6384","DEC","DECADE"
"6383","DE","DEAL"
"6382","DD","DEGREE [UNIT OF ANGLE]"
"6381","DC","DISK (DISC)"
"5494","DBC","DECADE (TEN YEARS)"
"6380","DB","DRY POUND"
"5493","DAY","DAY"
"5631","DAD","TEN DAY"
"5495","DAA","DECARE"
"6379","D99","SLEEVE"
"6378","D98","MASS POUND"
"6377","D97","PALLET/UNIT LOAD"
"6376","D96","POUND GROSS"
"6375","D95","JOULE PER GRAM"
"6374","D94","SECOND PER CUBIC METRE RADIAN"
"6373","D93","SECOND PER CUBIC METRE"
"6372","D92","BAND"
"6371","D91","REM"
"6370","D90","CUBIC METRE (NET)"
"6369","D9","DYNE PER SQUARE CENTIMETRE"
"6368","D89","MILLICOULOMB PER SQUARE METRE"
"6367","D88","MILLICOULOMB PER CUBIC METRE"
"6366","D87","MILLIMOLE PER KILOGRAM"
"6365","D86","MILLICOULOMB"
"6364","D85","MICROWATT PER SQUARE METRE"
"6363","D83","MILLINEWTON METRE"
"6362","D82","MICROVOLT"
"6361","D81","MICROTESLA"
"6360","D80","MICROWATT"
"6359","D8","DRAIZE SCORE"
"6358","D79","BEAM"
